material_id,formula,composition,symmetry,a,b,c,alpha,beta,gamma,num_atoms,crystal_system
mp-1190568,BaSO4,Ba4 S4 O16,P2_12_12_1,6.285106,7.075759,8.006934,90.0,90.0,90.0,24,orthorhombic
mp-3164,BaSO4,Ba4 S4 O16,Pnma,5.46903188,7.18825422,8.91393949,90.0,90.0,90.0,24,orthorhombic
mp-3307,BaSO4,Ba1 S1 O4,F-43m,5.230864840234357,5.230864840234357,5.230864840234357,60.00000000000001,60.00000000000001,60.00000000000001,6,cubic
mp-1009551,PbS,Pb1 S1,P-6m2,4.089697686666461,4.089697686666461,3.788167,90.0,90.0,119.99999493117048,2,hexagonal
mp-1012435,PbS,Pb2 S2,Cmc2_1,4.11388368,4.116570200301734,7.55994474,90.0,90.0,119.97842247244894,4,orthorhombic
mp-1018019,PbS,Pb2 S2,P6_3/mmc,4.12227102,4.115957417905616,7.34953648,90.0,90.0,120.05077161716935,4,hexagonal
mp-1018115,PbS,Pb2 S2,Cmcm,4.15990539,4.27932094,6.342069342120213,90.0,70.85491945691224,90.0,4,orthorhombic
mp-1057015,PbS,Pb1 S1,R3m,4.225324211223254,4.225323315272559,4.226919432455294,60.01247292977877,60.01248960201871,59.99999600165587,2,trigonal
mp-1078500,PbS,Pb4 S4,Pnma,4.27501809,4.22497401,12.02783561,90.0,90.0,90.0,8,orthorhombic
mp-1078696,PbS,Pb4 S4,P2_1/m,4.124529,6.036538,9.911612738338045,82.86352592577151,90.0,90.0,8,monoclinic
mp-1078944,PbS,Pb4 S4,Pma2,6.145872,6.277372,7.003867,90.0,90.0,90.0,8,orthorhombic
mp-1079101,PbS,Pb4 S4,Amm2,8.057461345594964,8.057461345594964,3.996073,90.0,90.0,103.47871177046203,8,orthorhombic
mp-1079543,PbS,Pb4 S4,Amm2,7.964862502637757,7.964862502637757,4.069928,90.0,90.0,91.1823449133938,8,orthorhombic
mp-1087486,PbS,Pb4 S4,P2_1/m,4.033142,5.945641,10.56022666057907,86.40497488797362,90.0,90.0,8,monoclinic
mp-1091375,PbS,Pb4 S4,Pnma,4.272704,6.077107,8.561955,90.0,90.0,90.0,8,orthorhombic
mp-20526,PbS,Pb2 S2,Aem2,4.221925930588043,4.221925930588043,11.27537033,90.0,90.0,90.06397100953006,4,orthorhombic
